POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Nationality,Player Link,Team,Season
1,David Warner,12,12,2,692,100,69.2,481,143.86,1,8,57,21,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/170/david-warner,Sunrisers Hyderabad,2019
2,KL Rahul,14,14,3,593,100,53.9,438,135.38,1,6,49,25,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1125/kl-rahul,Kings Xi Punjab,2019
3,Quinton de Kock,16,16,1,529,81,35.26,398,132.91,0,4,45,25,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/834/quinton-de-kock,Mumbai Indians,2019
4,Shikhar Dhawan,16,16,1,521,97,34.73,384,135.67,0,5,64,11,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/41/shikhar-dhawan,Delhi Capitals,2019
5,Andre Russell,14,13,4,510,80,56.66,249,204.81,0,4,31,52,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/177/andre-russell,Kolkata Knight Riders,2019
6,Chris Gayle,13,13,1,490,99,40.83,319,153.6,0,4,45,34,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/236/chris-gayle,Kings Xi Punjab,2019
7,Rishabh Pant,16,16,3,488,78,37.53,300,162.66,0,3,37,27,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/2972/rishabh-pant,Delhi Capitals,2019
8,Virat Kohli,14,14,0,464,100,33.14,328,141.46,1,2,46,13,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/164/virat-kohli,Royal Challengers Bangalore,2019
9,Shreyas Iyer,16,16,1,463,67,30.86,386,119.94,0,3,41,14,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/1563/shreyas-iyer,Delhi Capitals,2019
10,Jonny Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,48,18,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/506/jonny-bairstow,Sunrisers Hyderabad,2019
11,AB de Villiers,13,13,3,442,82,44.2,287,154.0,0,5,31,26,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/233/ab-de-villiers,Royal Challengers Bangalore,2019
12,Suryakumar Yadav,16,15,2,424,71,32.61,324,130.86,0,2,45,10,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/108/suryakumar-yadav,Mumbai Indians,2019
13,MS Dhoni,15,12,7,416,84,83.2,309,134.62,0,3,22,23,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/1/ms-dhoni,Chennai Super Kings,2019
14,Chris Lynn,13,13,0,405,82,31.15,290,139.65,0,4,41,22,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/179/chris-lynn,Kolkata Knight Riders,2019
15,Rohit Sharma,15,15,1,405,67,28.92,315,128.57,0,2,52,10,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/107/rohit-sharma,Mumbai Indians,2019
16,Hardik Pandya,16,15,6,402,91,44.66,210,191.42,0,1,28,29,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/2740/hardik-pandya,Mumbai Indians,2019
17,Shane Watson,17,17,0,398,96,23.41,312,127.56,0,3,42,20,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/227/shane-watson,Chennai Super Kings,2019
18,Faf du Plessis,12,12,1,396,96,36.0,321,123.36,0,3,36,15,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/24/faf-du-plessis,Chennai Super Kings,2019
19,Ajinkya Rahane,14,13,1,393,105,32.75,285,137.89,1,1,45,9,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/135/ajinkya-rahane,Rajasthan Royals,2019
20,Suresh Raina,17,17,1,383,59,23.93,314,121.97,0,3,45,9,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/14/suresh-raina,Chennai Super Kings,2019
21,Parthiv Patel,14,14,0,373,67,26.64,268,139.17,0,2,48,10,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/44/parthiv-patel,Royal Challengers Bangalore,2019
22,Prithvi Shaw,16,16,0,353,99,22.06,264,133.71,0,2,45,9,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/3764/prithvi-shaw,Delhi Capitals,2019
23,Manish Pandey,12,11,3,344,83,43.0,263,130.79,0,3,34,6,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/123/manish-pandey,Sunrisers Hyderabad,2019
24,Nitish Rana,14,11,1,344,85,34.4,235,146.38,0,3,27,21,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/2738/nitish-rana,Kolkata Knight Riders,2019
25,Sanju Samson,12,12,2,342,102,34.2,230,148.69,1,0,28,13,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/258/sanju-samson,Rajasthan Royals,2019
26,Mayank Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,26,14,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/158/mayank-agarwal,Kings Xi Punjab,2019
27,Steve Smith,12,10,2,319,73,39.87,275,116.0,0,3,30,4,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/271/steve-smith,Rajasthan Royals,2019
28,Jos Buttler,8,8,0,311,89,38.87,205,151.7,0,3,38,14,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/509/jos-buttler,Rajasthan Royals,2019
29,Shubman Gill,14,13,4,296,76,32.88,238,124.36,0,3,21,10,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/3761/shubman-gill,Kolkata Knight Riders,2019
30,Ambati Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,20,7,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/100/ambati-rayudu,Chennai Super Kings,2019
31,Robin Uthappa,12,11,2,282,67,31.33,245,115.1,0,1,28,10,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/127/robin-uthappa,Kolkata Knight Riders,2019
32,Kieron Pollard,16,14,6,279,83,34.87,178,156.74,0,1,14,22,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/210/kieron-pollard,Mumbai Indians,2019
33,Dinesh Karthik,14,13,5,253,97,31.62,173,146.24,0,2,22,14,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/102/dinesh-karthik,Kolkata Knight Riders,2019
34,Vijay Shankar,15,14,2,244,40,20.33,193,126.42,0,0,11,12,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1083/vijay-shankar,Sunrisers Hyderabad,2019
