PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Virat Kohli,177,169,26,5412,113,37.64,4112,128.45,5,36,480,190
Suresh Raina,193,189,28,5368,100,34.23,3914,136.83,1,38,493,194
Rohit Sharma,188,183,28,4898,109,31.83,3744,130.86,1,36,431,194
Shikhar Dhawan,164,162,21,4619,97,30.32,3714,118.87,0,37,527,96
David Warner,119,119,17,4543,126,44.5,3173,143.39,4,43,442,176
Chris Gayle,125,124,15,4484,175,39.81,2969,146.0,6,28,369,326
MS Dhoni,190,170,65,4432,84,46.77,3215,137.89,0,23,297,209
Robin Uthappa,177,170,17,4411,87,28.9,3380,130.72,0,24,435,156
Gautam Gambhir,139,137,15,3931,93,31.54,3126,122.81,0,35,459,57
AB de Villiers,139,129,28,3930,133,36.84,2551,146.15,2,30,318,200
Ajinkya Rahane,138,130,16,3816,105,32.65,3116,122.36,2,27,403,74
Shane Watson,134,130,15,3575,117,31.86,2562,136.67,4,19,343,177
Dinesh Karthik,167,150,23,3366,97,27.01,2598,129.33,0,17,337,92
Ambati Rayudu,147,140,25,3300,100,28.36,2620,125.54,1,18,278,120
Yusuf Pathan,174,154,44,3204,100,30.3,2241,138.14,1,13,262,158
Brendon McCullum,108,108,5,2874,158,30.34,2179,136.29,2,13,292,130
Parthiv Patel,139,137,11,2848,81,22.32,2358,119.01,0,13,365,49
Manish Pandey,127,118,23,2840,114,34.16,2344,121.67,1,15,253,75
Kieron Pollard,148,135,39,2755,83,28.54,1877,145.44,0,14,181,176
Yuvraj Singh,132,126,15,2750,83,24.5,2120,128.2,0,13,217,149
Murali Vijay,102,102,5,2575,127,25.99,2096,117.4,2,13,243,90
Virender Sehwag,93,93,4,2530,122,27.79,1617,153.52,2,15,310,99
Shaun Marsh,71,69,7,2477,115,38.61,1866,131.62,1,20,266,78
Jacques Kallis,98,96,11,2427,89,28.61,2222,109.36,0,17,255,44
Dwayne Smith,91,89,5,2385,87,26.19,1764,133.46,0,17,245,117
Sachin Tendulkar,78,78,11,2334,100,34.33,1948,118.5,1,13,295,29
Sanju Samson,93,89,9,2209,102,27.42,1696,129.33,2,10,170,89
Rahul Dravid,89,82,5,2174,75,28.17,1882,116.85,0,11,269,28
Adam Gilchrist,80,80,4,2069,109,28.13,1495,137.35,2,11,239,92
JP Duminy,83,77,26,2029,78,42.68,1636,119.85,0,14,126,79
Steve Smith,81,72,18,2022,101,38.22,1568,130.51,1,8,180,49
Michael Hussey,59,58,7,1977,116,38.71,1612,119.41,1,15,198,52
KL Rahul,62,56,11,1957,100,40.41,1415,130.84,1,16,172,81
Ravindra Jadeja,170,128,48,1927,48,25.5,1572,124.25,0,0,135,65
David Miller,79,77,23,1850,101,34.6,1333,131.34,1,9,126,87
