POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Nationality,Player Link,Team,Dots,Maid,Season
1,Imran Tahir,17,17,64.2,431,26,0,16.57,6.69,14.84,2,0,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/898/imran-tahir,Chennai Super Kings,149.0,1.0,2019
2,Kagiso Rabada,12,12,47.0,368,25,0,14.72,7.82,11.28,2,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/1664/kagiso-rabada,Delhi Capitals,113.0,0.0,2019
3,Deepak Chahar,17,17,64.3,482,22,0,21.9,7.47,17.59,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/140/deepak-chahar,Chennai Super Kings,190.0,2.0,2019
4,Shreyas Gopal,14,14,48.0,347,20,0,17.35,7.22,14.4,0,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/1748/shreyas-gopal,Rajasthan Royals,107.0,1.0,2019
5,Jasprit Bumrah,16,16,61.4,409,19,0,21.52,6.63,19.47,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/1124/jasprit-bumrah,Mumbai Indians,169.0,1.0,2019
6,Khaleel Ahmed,9,9,34.5,287,19,0,15.1,8.23,11.0,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/2964/khaleel-ahmed,Sunrisers Hyderabad,87.0,0.0,2019
7,Mohammad Shami,14,14,54.0,469,19,0,24.68,8.68,17.05,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/94/mohammad-shami,Kings Xi Punjab,119.0,0.0,2019
8,Yuzvendra Chahal,14,14,49.2,386,18,0,21.44,7.82,16.44,1,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/111/yuzvendra-chahal,Royal Challengers Bangalore,117.0,1.0,2019
9,Rashid Khan,15,15,60.0,377,17,0,22.17,6.28,21.17,0,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/2885/rashid-khan,Sunrisers Hyderabad,166.0,1.0,2019
10,Harbhajan Singh,11,11,44.0,312,16,0,19.5,7.09,16.5,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/103/harbhajan-singh,Chennai Super Kings,117.0,1.0,2019
11,Lasith Malinga,12,12,44.5,438,16,0,27.37,9.76,16.81,2,0,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/211/lasith-malinga,Mumbai Indians,91.0,0.0,2019
12,Ravindra Jadeja,16,16,54.0,343,15,0,22.86,6.35,21.6,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/9/ravindra-jadeja,Chennai Super Kings,128.0,1.0,2019
13,Ravichandran Ashwin,14,14,55.0,400,15,0,26.66,7.27,22.0,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/8/ravichandran-ashwin,Kings Xi Punjab,100.0,0.0,2019
14,Hardik Pandya,16,16,42.3,390,14,0,27.85,9.17,18.21,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/2740/hardik-pandya,Mumbai Indians,94.0,0.0,2019
15,Rahul Chahar,13,13,47.0,308,13,0,23.69,6.55,21.69,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/3763/rahul-chahar,Mumbai Indians,125.0,0.0,2019
16,Ishant Sharma,13,13,46.0,349,13,0,26.84,7.58,21.23,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/38/ishant-sharma,Delhi Capitals,122.0,1.0,2019
17,Bhuvneshwar Kumar,15,15,59.0,461,13,0,35.46,7.81,27.23,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/116/bhuvneshwar-kumar,Sunrisers Hyderabad,168.0,1.0,2019
18,Chris Morris,9,9,33.0,306,13,0,23.53,9.27,15.23,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/836/chris-morris,Delhi Capitals,68.0,0.0,2019
19,Krunal Pandya,16,16,46.0,335,12,0,27.91,7.28,23.0,0,0,Indian,https://www.iplt20.com/teams/mumbai-indians/squad/3183/krunal-pandya,Mumbai Indians,94.0,0.0,2019
20,Sandeep Sharma,11,11,42.4,352,12,0,29.33,8.25,21.33,0,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/1112/sandeep-sharma,Sunrisers Hyderabad,82.0,0.0,2019
21,Amit Mishra,11,11,40.0,270,11,0,24.54,6.75,21.81,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/30/amit-mishra,Delhi Capitals,83.0,0.0,2019
22,Jofra Archer,11,11,43.0,291,11,0,26.45,6.76,23.45,0,0,Overseas,https://www.iplt20.com/teams/rajasthan-royals/squad/3502/jofra-archer,Rajasthan Royals,121.0,2.0,2019
23,Dwayne Bravo,12,12,41.1,330,11,0,30.0,8.01,22.45,0,0,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/25/dwayne-bravo,Chennai Super Kings,74.0,0.0,2019
24,Navdeep Saini,13,13,48.0,397,11,0,36.09,8.27,26.18,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/3824/navdeep-saini,Royal Challengers Bangalore,141.0,0.0,2019
25,Andre Russell,14,12,30.1,287,11,0,26.09,9.51,16.45,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/177/andre-russell,Kolkata Knight Riders,61.0,0.0,2019
26,Axar Patel,14,14,51.0,364,10,0,36.4,7.13,30.6,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/1113/axar-patel,Delhi Capitals,110.0,0.0,2019
27,Sunil Narine,12,12,44.2,347,10,0,34.7,7.82,26.6,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/203/sunil-narine,Kolkata Knight Riders,96.0,1.0,2019
28,Piyush Chawla,13,13,44.3,399,10,0,39.9,8.96,26.7,0,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/76/piyush-chawla,Kolkata Knight Riders,87.0,0.0,2019
29,Sam Curran,9,9,33.0,323,10,0,32.3,9.78,19.8,1,0,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/2939/sam-curran,Kings Xi Punjab,60.0,0.0,2019
30,Jaydev Unadkat,11,11,37.2,398,10,0,39.8,10.66,22.4,0,0,Indian,https://www.iplt20.com/teams/rajasthan-royals/squad/86/jaydev-unadkat,Rajasthan Royals,58.0,0.0,2019
31,Keemo Paul,8,8,27.1,237,9,0,26.33,8.72,18.11,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/3101/keemo-paul,Delhi Capitals,54.0,0.0,2019
32,Mohammad Nabi,8,8,29.1,194,8,0,24.25,6.65,21.87,1,0,Overseas,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/618/mohammad-nabi,Sunrisers Hyderabad,69.0,0.0,2019
33,Sandeep Lamichhane,6,6,23.0,210,8,0,26.25,9.13,17.25,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/3013/sandeep-lamichhane,Delhi Capitals,47.0,0.0,2019
34,Shardul Thakur,10,9,30.0,281,8,0,35.12,9.36,22.5,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/1745/shardul-thakur,Chennai Super Kings,65.0,0.0,2019
35,Umesh Yadav,11,11,37.5,371,8,0,46.37,9.8,28.37,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/59/umesh-yadav,Royal Challengers Bangalore,88.0,0.0,2019
36,Harry Gurney,8,8,27.0,238,7,0,34.0,8.81,23.14,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/1737/harry-gurney,Kolkata Knight Riders,51.0,0.0,2019
37,Mohammed Siraj,9,9,28.1,269,7,0,38.42,9.55,24.14,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/3840/mohammed-siraj,Royal Challengers Bangalore,69.0,1.0,2019
38,Hardus Viljoen,6,6,23.0,222,7,0,31.71,9.65,19.71,0,0,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/1276/hardus-viljoen,Kings Xi Punjab,47.0,0.0,2019
