POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Nationality,Player Link,Team
1,Lasith Malinga,122,122,471.1,3366,170,5/13,19.8,7.14,16.62,6,1,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/211/lasith-malinga,Mumbai Indians
2,Amit Mishra,149,149,524.5,3857,159,5/17,24.25,7.34,19.8,3,1,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/30/amit-mishra,Delhi Capitals
3,Piyush Chawla,160,159,532.4,4181,154,4/17,27.14,7.84,20.75,2,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/76/piyush-chawla,Chennai Super Kings
4,Harbhajan Singh,160,157,562.2,3967,150,5/18,26.44,7.05,22.49,1,1,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/103/harbhajan-singh,Chennai Super Kings
5,Dwayne Bravo,134,131,431.0,3617,147,4/22,24.6,8.39,17.59,2,0,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/25/dwayne-bravo,Chennai Super Kings
6,Bhuvneshwar Kumar,120,120,446.2,3233,135,5/19,23.94,7.24,19.83,2,1,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/116/bhuvneshwar-kumar,Sunrisers Hyderabad
7,Ravichandran Ashwin,140,137,488.2,3312,127,4/34,26.07,6.78,23.07,1,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/8/ravichandran-ashwin,Delhi Capitals
8,Sunil Narine,112,111,434.2,2898,123,5/19,23.56,6.67,21.18,6,1,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/203/sunil-narine,Kolkata Knight Riders
9,Umesh Yadav,121,120,420.2,3579,119,4/24,30.07,8.51,21.19,2,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/59/umesh-yadav,Royal Challengers Bangalore
10,Ravindra Jadeja,173,145,427.5,3278,110,5/16,29.8,7.66,23.33,3,1,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/9/ravindra-jadeja,Chennai Super Kings
11,Ashish Nehra,88,88,318.0,2495,106,4/10,23.53,7.84,18.0,1,0,Indian,https://www.iplt20.com/teams/sunrisers-hyderabad/squad/115/ashish-nehra,Sunrisers Hyderabad
12,Yuzvendra Chahal,87,86,309.5,2409,105,4/25,22.94,7.77,17.7,2,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/111/yuzvendra-chahal,Royal Challengers Bangalore
13,Vinay Kumar,105,104,353.3,2966,105,4/40,28.24,8.39,20.2,1,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/166/vinay-kumar,Kolkata Knight Riders
14,Zaheer Khan,100,99,366.4,2782,102,4/17,27.27,7.58,21.56,1,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/165/zaheer-khan,Delhi Capitals
