POS,PLAYER,Against,Venue,Match Date,BF,6s,4s,Runs,Season
1,Hardik Pandya,KKR,Eden Gardens,2019-04-28,17,9,6,91,2019
2,Rishabh Pant,MI,Wankhede Stadium,2019-03-24,18,7,7,78,2019
3,KL Rahul,CSK,IS Bindra Stadium,2019-05-05,19,5,7,71,2019
4,Andre Russell,RCB,Eden Gardens,2019-04-19,21,9,2,65,2019
5,Kieron Pollard,KXIP,Wankhede Stadium,2019-04-10,22,10,3,83,2019
6,Andre Russell,DC,Feroz Shah Kotla Ground,2019-03-30,23,6,4,62,2019
7,Sam Curran,KKR,IS Bindra Stadium,2019-05-03,23,2,7,55,2019
8,Moeen Ali,KKR,Eden Gardens,2019-04-19,24,6,5,66,2019
9,David Warner,CSK,Rajiv Gandhi Intl. Cricket Stadium,2019-04-17,24,0,10,50,2019
10,Manish Pandey,CSK,Chidambaram,2019-04-23,25,3,7,83,2019
11,Chris Gayle,DC,Feroz Shah Kotla Ground,2019-04-20,25,5,6,69,2019
12,Shikhar Dhawan,RR,Sawai Mansingh Stadium,2019-04-22,25,2,8,54,2019
13,Rishabh Pant,RR,Sawai Mansingh Stadium,2019-04-22,26,4,6,78,2019
14,David Warner,RR,Rajiv Gandhi Intl. Cricket Stadium,2019-03-29,26,2,9,69,2019
15,Manish Pandey,RR,Sawai Mansingh Stadium,2019-04-27,27,0,9,61,2019
16,Chris Lynn,MI,Eden Gardens,2019-04-28,27,2,8,54,2019
17,Jonny Bairstow,RCB,Rajiv Gandhi Intl. Cricket Stadium,2019-03-31,28,7,12,114,2019
18,Chris Gayle,RCB,IS Bindra Stadium,2019-04-13,28,5,10,99,2019
19,Jonny Bairstow,KKR,Rajiv Gandhi Intl. Cricket Stadium,2019-04-21,28,4,7,80,2019
20,David Warner,KKR,Rajiv Gandhi Intl. Cricket Stadium,2019-04-21,28,5,3,67,2019
21,AB de Villiers,KKR,M. Chinnaswamy Stadium,2019-04-05,28,4,5,63,2019
22,Nitish Rana,KXIP,Eden Gardens,2019-03-27,28,7,2,63,2019
23,Mayank Agarwal,KKR,Eden Gardens,2019-03-27,28,1,6,58,2019
24,Jos Buttler,MI,Wankhede Stadium,2019-04-13,29,7,8,89,2019
25,Jos Buttler,KXIP,Sawai Mansingh Stadium,2019-03-25,29,2,10,69,2019
26,Parthiv Patel,RR,Sawai Mansingh Stadium,2019-04-02,29,1,9,67,2019
27,Prithvi Shaw,KKR,Feroz Shah Kotla Ground,2019-03-30,30,3,12,99,2019
28,Andre Russell,MI,Eden Gardens,2019-04-28,30,8,6,80,2019
29,David Warner,KKR,Eden Gardens,2019-03-24,31,3,9,85,2019
30,Virat Kohli,KKR,M. Chinnaswamy Stadium,2019-04-05,31,2,9,84,2019
31,AB de Villiers,MI,M. Chinnaswamy Stadium,2019-03-28,31,6,4,70,2019
32,Chris Gayle,MI,Wankhede Stadium,2019-04-10,31,7,3,63,2019
33,Prithvi Shaw,SRH,ACA-VDCA Stadium,2019-05-08,31,2,6,56,2019
34,Shane Watson,DC,ACA-VDCA Stadium,2019-05-10,31,4,3,50,2019
35,Chris Lynn,RR,Sawai Mansingh Stadium,2019-04-07,31,3,6,50,2019
36,Moeen Ali,MI,Wankhede Stadium,2019-04-15,31,5,1,50,2019
37,Steve Smith,DC,Sawai Mansingh Stadium,2019-04-22,31,0,8,50,2019
38,Ajinkya Rahane,DC,Sawai Mansingh Stadium,2019-04-22,32,3,11,105,2019
39,David Warner,RCB,Rajiv Gandhi Intl. Cricket Stadium,2019-03-31,32,5,5,100,2019
40,Shikhar Dhawan,KKR,Eden Gardens,2019-04-12,32,2,11,97,2019
41,Shubman Gill,MI,Eden Gardens,2019-04-28,32,4,6,76,2019
42,Shimron Hetmyer,SRH,M. Chinnaswamy Stadium,2019-05-04,32,6,4,75,2019
43,Nitish Rana,RCB,Eden Gardens,2019-04-19,33,5,9,85,2019
44,Chris Gayle,RR,Sawai Mansingh Stadium,2019-03-25,33,4,8,79,2019
45,Faf du Plessis,KXIP,Chidambaram,2019-04-06,33,4,2,54,2019
46,Yuvraj Singh,DC,Wankhede Stadium,2019-03-24,33,3,5,53,2019
47,Sanju Samson,SRH,Rajiv Gandhi Intl. Cricket Stadium,2019-03-29,34,4,10,102,2019
48,Quinton de Kock,RR,Wankhede Stadium,2019-04-13,34,4,6,81,2019
