Team,Mat,Won,Lost,Tied,N/R,Points,Net R/R,For,Against,Season
Mumbai Indians,14.0,9.0,5.0,0.0,0.0,18.0,0.421,2380/275.1,2282/277.2,2019
Chennai Super Kings,14.0,9.0,5.0,0.0,0.0,18.0,0.131,2043/274.1,2012/274.5,2019
Delhi Capitals,14.0,9.0,5.0,0.0,0.0,18.0,0.044,2207/272.5,2238/278.1,2019
Sunrisers Hyderabad,14.0,6.0,8.0,0.0,0.0,12.0,0.577,2288/269.2,2200/277.5,2019
Kolkata Knight Riders,14.0,6.0,8.0,0.0,0.0,12.0,0.028,2466/270.4,2419/266.2,2019
Kings XI Punjab,14.0,6.0,8.0,0.0,0.0,12.0,-0.251,2429/276.3,2503/277.0,2019
Rajasthan Royals,14.0,5.0,8.0,0.0,1.0,11.0,-0.449,2153/257.0,2192/248.2,2019
Royal Challengers Bangalore,14.0,5.0,8.0,0.0,1.0,11.0,-0.607,2146/258.4,2266/254.3,2019
Sunrisers Hyderabad,14.0,9.0,5.0,0.0,0.0,18.0,0.284,2230/273.3,2193/278.4,2018
Chennai Super Kings,14.0,9.0,5.0,0.0,0.0,18.0,0.253,2488/275.3,2433/277.1,2018
Kolkata Knight Riders,14.0,8.0,6.0,0.0,0.0,16.0,-0.07,2363/265.1,2425/270.0,2018
Rajasthan Royals,14.0,7.0,7.0,0.0,0.0,14.0,-0.25,2130/255.3,2141/249.2,2018
Mumbai Indians,14.0,6.0,8.0,0.0,0.0,12.0,0.317,2380/278.4,2282/277.3,2018
Royal Challengers Bangalore,14.0,6.0,8.0,0.0,0.0,12.0,0.129,2322/264.4,2383/275.4,2018
Kings XI Punjab,14.0,6.0,8.0,0.0,0.0,12.0,-0.502,2210/268.4,2259/258.5,2018
Delhi Capitals,14.0,5.0,9.0,0.0,0.0,10.0,-0.222,2297/258.0,2304/252.3,2018
Mumbai Indians,14.0,10.0,4.0,0.0,0.0,20.0,0.784,2407/272.1,2242/278.1,2017
